,age,gender,value
0,33,female,0.14285714285714285
1,34,male,0.14285714285714285
2,49,male,0.0
3,34,male,0.0
4,35,female,0.031746031746031744
7,33,male,0.0
8,7,female,0.07802197802197802
9,40,female,0.05824175824175826
10,43,male,0.0021978021978021982
16,50,male,0.005494505494505495
18,51,male,0.0
20,40,female,0.2391941391941392
21,32,male,0.12875457875457877
24,32,male,0.011904761904761904
29,38,male,0.04365079365079365
30,25,female,0.0
31,8,male,0.0746031746031746
32,17,female,0.049999999999999996
34,48,female,0.01761904761904762
36,40,male,0.01650793650793651
37,54,male,0.2753968253968254
38,23,male,0.015873015873015876
39,47,male,0.0071428571428571435
40,37,female,0.0
41,50,male,0.0031746031746031746
42,41,female,0.04619047619047619
43,11,male,0.0
44,20,male,0.0753968253968254
47,30,male,0.006944444444444444
49,42,male,0.0
50,28,female,0.034722222222222224
51,35,female,0.34953703703703703
53,66,female,0.013888888888888888
54,38,male,0.16898148148148145
55,38,male,0.0
57,36,male,0.0
58,52,male,0.05185185185185185
59,47,female,0.0
60,56,male,0.4222222222222222
61,70,male,0.0
63,67,male,0.0
64,66,female,0.0
65,46,male,0.04444444444444444
66,27,female,0.14814814814814814
68,73,male,0.05303030303030303
69,34,male,0.5757575757575758
71,41,male,0.0
74,65,male,0.0
77,58,male,0.0
78,35,female,0.05303030303030303
79,27,female,0.2272727272727273
85,26,male,0.18609022556390978
88,23,female,0.0008771929824561403
92,23,female,0.009619883040935672
95,56,male,0.0026315789473684206
96,23,male,0.010793650793650793
97,15,male,0.2229573934837093
100,34,female,0.0
104,33,male,0.0033910533910533904
105,58,male,0.10118063754427392
109,26,male,0.030506362324544144
111,19,female,0.033922558922558924
112,43,male,0.004650400104945559
114,39,female,0.03250032795487341
115,37,female,0.00808080808080808
120,22,male,0.36160632296995937
121,47,male,0.009427609427609429
125,54,male,0.22685185185185183
127,65,male,0.07407407407407407
128,39,female,0.0
129,73,male,0.0
130,37,male,0.0
131,42,female,0.0
132,38,male,0.0
134,59,male,0.3657407407407407
135,44,male,0.05531746031746033
136,14,male,0.0176984126984127
138,15,female,0.012222222222222223
140,32,male,0.1327777777777778
141,13,male,0.07833333333333334
145,54,male,0.07452380952380952
147,40,male,0.006746031746031746
149,36,female,0.010158730158730159
151,61,male,0.08333333333333333
152,46,male,0.0
153,36,male,0.3333333333333333
157,39,male,0.008955938697318007
158,30,female,0.02888480325817329
